"CENSUS2K_Code","CENSUS2K_Occupation_Title","BLS_Code","BLS_Occupation_Title","OMBSOC_Code","OMBSOC_Occupation_Title","ONET_Code","ONET_Occupation_Title","CIP_Code","CIP_Occupation_Title","NSSBIC_Code","NSSBIC_Occupation_Title","DOECC_Code","DOECC_Occupation_Title"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.01","Government Service Executives","44.9999","Public Administration & Services, Other",9,"Public Administration & Legal Services",7,"Government & Public Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.02","Private Sector Executives","52.0201","Business Administration/Management",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.02","Private Sector Executives","52.0201","Transportation/Transportation Management  (New)",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.02","Private Sector Executives","52.0701","Entrepreneurship/Entrepreneurial Studies",2,"Business & Administrative Services",4,"Business & Administration"
1,"Chief Executives","11-1011","Chief Executives","11-1011","Chief Executives","11-1011.02","Private Sector Executives","52.1101","International Business/Trade/Commerce",2,"Business & Administrative Services",4,"Business & Administration"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0806","International Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0808","Public Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0809","Credit Management   (New)",5,"Finance & Insurance",6,"Finance"
2,"General & Operations Managers","11-1021","General & Operations Managers","11-1021","General & Operations Managers","11-1021.00","General & Operations Managers","44.0401","Public Administration",2,"Business & Administrative Services",4,"Business & Administration"
2,"General & Operations Managers","11-1021","General & Operations Managers","11-1021","General & Operations Managers","11-1021.00","General & Operations Managers","52.0201","Business Administration/Management",2,"Business & Administrative Services",4,"Business & Administration"
2,"General & Operations Managers","11-1021","General & Operations Managers","11-1021","General & Operations Managers","11-1021.00","General & Operations Managers","52.0701","Entrepreneurship/Entrepreneurial Studies",2,"Business & Administrative Services",4,"Business & Administration"
2,"General & Operations Managers","11-1021","General & Operations Managers","11-1021","General & Operations Managers","11-1021.00","General & Operations Managers","52.1101","International Business/Trade/Commerce",2,"Business & Administrative Services",4,"Business & Administration"
3,"Legislators","11-1031","Legislators","11-1031","Legislators","11-1031.00","Legislators","44.0401","Public Administration",9,"Public Administration & Legal Services",7,"Government & Public Administration"
3,"Legislators","11-1031","Legislators","11-1031","Legislators","11-1031.00","Legislators","44.0501","Public Policy Analysis",9,"Public Administration & Legal Services",7,"Government & Public Administration"
3,"Legislators","11-1031","Legislators","11-1031","Legislators","11-1031.00","Legislators","44.9999","Public Administration & Services, Other",9,"Public Administration & Legal Services",7,"Government & Public Administration"
4,"Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011.00","Advertising & Promotions Managers","09.0902","Public Relations/Image Management",13,"Communications, Entertainment, & Information",14,"Retail & Wholesale Sales & Service"
4,"Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011.00","Advertising & Promotions Managers","09.0903","Advertising  (New)",13,"Communications, Entertainment, & Information",14,"Retail & Wholesale Sales & Service"
4,"Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011","Advertising & Promotions Managers","11-2011.00","Advertising & Promotions Managers","52.1401","Marketing/Marketing Management, General",13,"Communications, Entertainment, & Information",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","19.0203","Consumer Merchandising/Retailing Management  (New)",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","19.0905","Apparel & Textile Marketing Management  (New)",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","52.1401","Marketing/Marketing Management, General",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
84,"Financial Analysts","13-2051","Financial Analysts","13-2051","Financial Analysts","13-2051.00","Financial Analysts","52.0305","Accounting & Business/Management   (New)",5,"Finance & Insurance",6,"Finance"
204,"Clergy","21-2011","Clergy","21-2011","Clergy","21-2011.00","Clergy","39.0701","Pastoral Studies/Counseling",16,"Not assigned",10,"Human Service"
204,"Clergy","21-2011","Clergy","21-2011","Clergy","21-2011.00","Clergy","51.1506","Clinical Pastoral Counseling/Patient Counseling   (New)",16,"Not assigned",10,"Human Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","52.1402","Marketing Research",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","52.1403","International Marketing",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2021","Marketing Managers","11-2021","Marketing Managers","11-2021.00","Marketing Managers","52.1499","Marketing, Other",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2022","Sales Managers","11-2022","Sales Managers","11-2022.00","Sales Managers","19.0203","Consumer Merchandising/Retailing Management  (New)",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2022","Sales Managers","11-2022","Sales Managers","11-2022.00","Sales Managers","52.0101","Business/Commerce, General",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2022","Sales Managers","11-2022","Sales Managers","11-2022.00","Sales Managers","52.0201","Business Administration/Management",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2022","Sales Managers","11-2022","Sales Managers","11-2022.00","Sales Managers","52.1401","Marketing/Marketing Management, General",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
5,"Marketing & Sales Managers","11-2022","Sales Managers","11-2022","Sales Managers","11-2022.00","Sales Managers","52.1499","Marketing, Other",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
6,"Public Relations Managers","11-2031","Public Relations Managers","11-2031","Public Relations Managers","11-2031.00","Public Relations Managers","09.0902","Public Relations/Image Management",13,"Communications, Entertainment, & Information",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","44.0401","Public Administration",2,"Business & Administrative Services",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","51.0711","Medical/Health Management & Clinical Assistant/Specialist   (New)",2,"Business & Administrative Services",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","51.0717","Medical Staff Services Technology/Technician  (New)",2,"Business & Administrative Services",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","52.0101","Business/Commerce, General",2,"Business & Administrative Services",4,"Business & Administration"
306,"Physicians & Surgeons","29-1067","Surgeons","29-1067","Surgeons","29-1067.00","Surgeons","60.0242","Orthopedics/Orthopedic Surgery",6,"Health & Human Services",8,"Health Science"
306,"Physicians & Surgeons","29-1067","Surgeons","29-1067","Surgeons","29-1067.00","Surgeons","60.0253","Plastic Surgery",6,"Health & Human Services",8,"Health Science"
325,"Veterinarians","29-1131","Veterinarians","29-1131","Veterinarians","29-1131.00","Veterinarians","60.0311","Veterinary Practice",1,"Agriculture, Forestry, & Fishing",8,"Health Science"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","52.0201","Business Administration/Management",2,"Business & Administrative Services",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","52.0202","Purchasing, Procurement/Acquisitions & Contracts Management",2,"Business & Administrative Services",4,"Business & Administration"
10,"Administrative Services Managers","11-3011","Administrative Services Managers","11-3011","Administrative Services Managers","11-3011.00","Administrative Services Managers","52.0209","Transportation/Transportation Management  (New)",2,"Business & Administrative Services",4,"Business & Administration"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","11.0101","Computer & Information Sciences, General",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","11.0701","Computer Science",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","11.0401","Information Science/Studies",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","11.1001","System Administration/Administrator  (New)",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","52.0205","Operations Management & Supervision",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","52.1201","Management Information Systems, General",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","52.1206","Information Resources Management/CIO Training   (New)",12,"Scientific & Technical Services",11,"Information Technology"
11,"Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021","Computer & Information Systems Managers","11-3021.00","Computer & Information Systems Managers","52.1207","Knowledge Management   (New)",12,"Scientific & Technical Services",11,"Information Technology"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0304","Accounting and Finance   (NEW)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0305","Accounting & Business/Management   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0801","Finance, General",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.00","Financial Managers","52.0899","Finance & Financial Management Services, Other",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0304","Accounting & Finance   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0305","Accounting & Business/Management   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0801","Finance, General",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0806","International Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0808","Public Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0809","Credit Management   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.01","Treasurers, Controllers, & Chief Financial Officers","52.0899","Finance & Financial Management Services, Other",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0304","Accounting & Finance   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0801","Finance, General",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0806","International Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0808","Public Finance",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0809","Credit Management   (New)",5,"Finance & Insurance",6,"Finance"
12,"Financial Managers","11-3031","Financial Managers","11-3031","Financial Managers","11-3031.02","Financial Managers, Branch or Department","52.0899","Finance & Financial Management Services, Other",5,"Finance & Insurance",6,"Finance"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3040","Human Resources Managers","11-3040.00","Human Resources Managers","99","This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",2,"Business & Administrative Services",4,"Business & Administration"
325,"Veterinarians","29-1131","Veterinarians","29-1131","Veterinarians","29-1131.00","Veterinarians","60.0315","Theriogenology",1,"Agriculture, Forestry, & Fishing",8,"Health Science"
623,"Carpenters","47-2031","Carpenters","47-2031","Carpenters","47-2031.05","Boat Builders & Shipwrights","46.0201","Carpentry/Carpenter",3,"Construction",2,"Architecture & Construction"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3041","Compensation & Benefits Managers","11-3041.00","Compensation & Benefits Managers","52.1001","Human Resources Management/Personnel Administration, General",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3041","Compensation & Benefits Managers","11-3041.00","Compensation & Benefits Managers","52.1002","Labor & Industrial Relations",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3042","Training & Development Managers","11-3042.00","Training & Development Managers","52.1001","Human Resources Management/Personnel Administration, General",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3042","Training & Development Managers","11-3042.00","Training & Development Managers","52.1005","Human Resources Development   (New)",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3049","Human Resources Managers, All Other","11-3049.00","Human Resources Managers, All Other","52.1001","Human Resources Management/Personnel Administration, General",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3049","Human Resources Managers, All Other","11-3049.00","Human Resources Managers, All Other","52.1002","Labor & Industrial Relations",2,"Business & Administrative Services",4,"Business & Administration"
13,"Human Resources Managers","11-3040","Human Resources Managers","11-3049","Human Resources Managers, All Other","11-3049.00","Human Resources Managers, All Other","52.1004","Labor Studies   (New)",2,"Business & Administrative Services",4,"Business & Administration"
14,"Industrial Production Managers","11-3051","Industrial Production Managers","11-3051","Industrial Production Managers","11-3051.00","Industrial Production Managers","52.0101","Business/Commerce, General",2,"Business & Administrative Services",4,"Business & Administration"
14,"Industrial Production Managers","11-3051","Industrial Production Managers","11-3051","Industrial Production Managers","11-3051.00","Industrial Production Managers","52.0201","Business Administration/Management",7,"Manufacturing, Installation & Repair",13,"Manufacturing"
14,"Industrial Production Managers","11-3051","Industrial Production Managers","11-3051","Industrial Production Managers","11-3051.00","Industrial Production Managers","52.0205","Operations Management & Supervision",7,"Manufacturing, Installation & Repair",13,"Manufacturing"
15,"Purchasing Managers","11-3061","Purchasing Managers","11-3061","Purchasing Managers","11-3061.00","Purchasing Managers","52.0202","Purchasing, Procurement/Acquisitions & Contracts Management",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","44.0401","Public Administration",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","49.0101","Aeronautics/Aviation/Aerospace Science & Technology, General",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","49.0104","Aviation/Airway Management & Operations",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","52.0101","Business/Commerce, General",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","52.0201","Business Administration/Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","52.0203","Logistics & Materials Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.00","Transportation, Storage, & Distribution Managers","52.0203","Transportation/Transportation Management  (New)",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","44.0401","Public Administration",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","49.0101","Aeronautics/Aviation/Aerospace Science & Technology, General",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","49.0104","Aviation/Airway Management & Operations",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","52.0201","Business Administration/Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","52.0203","Logistics & Materials Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.01","Transportation Managers","52.0209","Transportation/Transportation Management  (New)",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","44.0401","Public Administration",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","49.0101","Aeronautics/Aviation/Aerospace Science & Technology, General",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","49.0104","Aviation/Airway Management & Operations",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","52.0201","Business Administration/Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","52.0203","Logistics & Materials Management",14,"Transportation",16,"Transportation, Distribution, & Logistics"
16,"Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071","Transportation, Storage, & Distribution Managers","11-3071.02","Storage & Distribution Managers","52.0209","Transportation/Transportation Management  (New)",14,"Transportation",16,"Transportation, Distribution, & Logistics"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0101","Agricultural Business & Management, General",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0102","Agribusiness/Agricultural Business Operations",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0104","Farm/Farm & Ranch Management",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0199","Agricultural Business & Management, Other",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0301","Agricultural Production Operations, General",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0302","Animal/Livestock Husbandry & Production",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0304","Crop Production",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0306","Dairy Husbandry & Production  (New)",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0307","Horse Husbandry/Equine Science & Management  (New)",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0399","Agricultural Production Operations, Other",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
20,"Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011","Farm, Ranch, & Other Agricultural Managers","11-9011.00","Farm, Ranch, & Other Agricultural Managers","01.0603","Ornamental Horticulture",1,"Agriculture, Forestry, & Fishing",1,"Agriculture/Natural Resource"
